Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
2009,20.57,14.56,8.6,293.13,-0.11,16.04,33.61,4.07,56.29,0.05,Andijon,,,,
2010,21.18,15.14,9.15,359.14,0.84,16.98,36.54,6.59,58.4,0.04,Andijon,,,,
2011,20.17,14.22,8.28,316.1,-0.61,18.4,45.23,6.47,55.04,0.11,Andijon,,,,
2012,20.1,13.87,7.68,248.6,0.44,16.47,47.09,3.34,54.95,0.07,Andijon,,,,
2013,21.24,15.07,8.95,284.75,-0.85,12.81,27.62,2.82,55.7,0.11,Andijon,,,,
2014,20.23,13.78,7.37,306.3,-0.56,16.55,35.04,2.41,55.71,0.11,Andijon,,,,
2015,21.29,15.08,8.9,362.21,-0.19,20.07,31.6,6.86,57.82,0.1,Andijon,,,,
2016,22.15,15.41,8.7,376.02,0.11,18.18,42.51,6.28,57.09,0.1,Andijon,,,,
2017,21.54,14.66,7.82,316.74,1.1,18.66,33.89,7.16,57.02,0.07,Andijon,,,,
2018,21.75,14.63,7.55,304.87,0.18,15.37,36.62,3.18,57.46,0.09,Andijon,,,,
2019,22.18,15.35,8.55,294.53,0.11,20.58,37.79,8.6,54.77,0.12,Andijon,,,,
2020,21.02,14.31,7.61,283.19,-0.32,14.52,23.43,2.18,54.56,0.05,Andijon,,,,
2021,22.23,15.39,8.59,233.52,-0.56,17.92,37.91,5.54,49.84,0.11,Andijon,,,,
2022,21.72,15.68,9.67,368.99,-0.81,18.64,40.84,4.86,54.25,0.15,Andijon,,,,
2023,22.67,16.12,9.62,238.78,-0.6,22.28,49.56,11.14,53.37,0.12,Andijon,,,,
