Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1984,15.28,9.38,3.52,520.88,-0.44,19.95,41.79,10.92,54.44,0.15,Namangan,,,,
1985,16.13,10.11,4.1,439.1,0.17,16.05,35.44,7.13,54.51,0.06,Namangan,,,,
1986,16.4,10.44,4.5,405.86,-1.11,18.09,39.67,7.25,53.7,0.07,Namangan,,,,
1987,16.09,10.38,4.68,670.78,0.85,23.4,59.11,14.32,60.18,0.05,Namangan,,,,
1988,17.03,11.0,5.01,447.51,0.99,15.63,37.25,5.06,55.88,0.11,Namangan,,,,
1989,16.12,10.0,3.92,390.85,-0.6,28.43,60.7,9.73,54.19,0.05,Namangan,,,,
1990,16.73,10.79,4.87,517.32,0.51,21.64,45.18,9.83,57.56,0.12,Namangan,,,,
1991,16.19,10.34,4.5,525.16,0.03,23.41,65.68,6.29,58.21,0.05,Namangan,,,,
1992,15.87,10.19,4.53,465.45,0.97,24.19,55.03,10.55,59.05,0.03,Namangan,,,,
1993,14.91,9.35,3.81,766.23,1.14,22.21,66.07,15.74,61.61,0.03,Namangan,,,,
1994,15.96,10.07,4.21,504.99,1.14,19.22,45.49,14.54,57.48,0.08,Namangan,,,,
1995,17.27,10.98,4.73,268.39,-0.47,15.05,25.07,4.97,53.61,0.07,Namangan,,,,
1996,15.77,9.78,3.81,488.34,0.08,21.92,45.42,13.22,57.44,0.07,Namangan,,,,
1997,17.21,11.08,4.97,400.83,-0.62,16.43,32.64,5.44,55.52,0.14,Namangan,,,,
1998,16.41,10.63,4.88,830.96,0.84,24.85,61.09,12.42,59.81,0.07,Namangan,,,,
1999,17.11,11.24,5.38,583.57,0.92,23.92,40.17,10.38,57.55,0.04,Namangan,,,,
2000,17.05,11.12,5.21,403.86,-0.25,23.81,47.85,8.14,54.34,0.07,Namangan,,,,
2001,17.52,11.4,5.3,413.91,-0.51,17.63,40.73,5.85,54.43,0.07,Namangan,,,,
2002,17.18,11.24,5.33,645.22,0.45,14.49,36.11,4.9,57.16,0.09,Namangan,,,,
2003,16.2,10.64,5.12,692.04,0.86,22.98,61.64,9.7,58.88,0.1,Namangan,,,,
2004,17.44,11.71,6.02,547.84,0.44,27.59,57.98,12.43,57.1,0.09,Namangan,,,,
2005,17.13,11.32,5.53,463.24,0.66,20.37,50.43,11.7,56.53,0.09,Namangan,,,,
2006,17.19,11.29,5.44,473.52,-0.15,20.05,47.32,9.32,57.43,0.09,Namangan,,,,
2007,17.28,11.33,5.39,478.89,-0.43,21.37,62.65,9.67,55.51,0.08,Namangan,,,,
2008,16.66,10.82,5.01,388.73,-1.24,22.17,48.53,12.3,54.81,0.15,Namangan,,,,
2009,16.97,11.21,5.47,519.36,-0.06,15.36,37.45,6.32,56.34,0.05,Namangan,,,,
2010,17.66,11.8,5.97,548.22,0.95,19.8,47.4,9.17,58.92,0.04,Namangan,,,,
2011,16.61,10.85,5.13,506.42,-0.64,22.29,61.49,8.45,56.25,0.11,Namangan,,,,
2012,16.48,10.49,4.52,395.53,0.46,16.6,45.2,5.92,55.41,0.07,Namangan,,,,
2013,17.68,11.72,5.8,450.94,-0.66,16.08,30.52,8.1,55.2,0.1,Namangan,,,,
2014,16.66,10.41,4.19,485.03,-0.42,18.18,40.43,6.36,53.55,0.12,Namangan,,,,
2015,17.54,11.68,5.85,587.38,-0.21,21.77,40.06,8.05,57.9,0.12,Namangan,,,,
2016,18.38,12.03,5.72,595.71,0.29,20.27,47.27,9.51,56.5,0.1,Namangan,,,,
2017,17.8,11.27,4.78,493.34,0.96,23.1,46.44,10.65,55.06,0.1,Namangan,,,,
2018,17.93,11.27,4.64,463.57,0.03,17.63,52.38,10.53,56.07,0.11,Namangan,,,,
2019,18.32,11.96,5.62,452.01,0.23,19.7,46.89,8.79,55.57,0.13,Namangan,,,,
2020,17.21,10.93,4.67,445.51,-0.37,17.66,45.35,6.52,54.71,0.05,Namangan,,,,
2021,18.54,12.0,5.49,360.54,-0.37,20.3,44.81,12.88,50.89,0.09,Namangan,,,,
2022,18.0,12.3,6.63,596.95,-0.5,25.33,62.76,7.01,53.81,0.17,Namangan,,,,
2023,18.99,12.79,6.63,377.9,-0.57,21.58,54.86,15.49,52.27,0.15,Namangan,,,,
2024,17.89,11.93,6.01,552.88,-0.49,35.84,66.35,17.52,57.74,0.1,Namangan,,,,
1901,19.96,13.38,6.83,144.82,,,,,,,Navoiy,,,,
1902,20.34,13.88,7.45,156.03,,,,,,,Navoiy,,,,
1903,18.88,12.5,6.15,132.13,,,,,,,Navoiy,,,,
1904,19.3,12.88,6.5,131.01,,,,,,,Navoiy,,,,
1905,19.03,12.76,6.52,135.21,,,,,,,Navoiy,,,,
1906,19.71,13.31,6.94,165.5,,,,,,,Navoiy,,,,
1907,18.74,12.49,6.27,159.26,,,,,,,Navoiy,,,,
1908,19.63,13.1,6.61,136.03,,,,,,,Navoiy,,,,
1909,20.83,14.03,7.27,113.19,,,,,,,Navoiy,,,,
1910,19.85,13.36,6.9,109.57,,,,,,,Navoiy,,,,
1911,19.15,12.62,6.12,157.88,,,,,,,Navoiy,,,,
1912,19.97,13.41,6.88,111.29,,,,,,,Navoiy,,,,
1913,19.56,13.57,7.62,148.69,,,,,,,Navoiy,,,,
1914,20.2,14.21,8.25,163.75,,,,,,,Navoiy,,,,
1915,20.96,14.83,8.74,117.66,,,,,,,Navoiy,,,,
1916,19.17,12.8,6.47,132.67,,,,,,,Navoiy,,,,
1917,20.48,13.96,7.48,89.25,,,,,,,Navoiy,,,,
1918,18.88,12.46,6.07,130.37,,,,,,,Navoiy,,,,
1919,19.24,12.64,6.07,143.08,,,,,,,Navoiy,,,,
1920,17.65,11.78,5.93,157.29,,,,,,,Navoiy,,,,
1921,19.01,12.88,6.78,144.88,,,,,,,Navoiy,,,,
1922,20.51,13.98,7.49,146.13,,,,,,,Navoiy,,,,
1923,19.12,12.78,6.47,158.15,,,,,,,Navoiy,,,,
1924,19.47,13.04,6.64,167.86,,,,,,,Navoiy,,,,
1925,20.71,13.99,7.3,117.59,,,,,,,Navoiy,,,,
1926,19.98,13.51,7.07,162.2,,,,,,,Navoiy,,,,
1927,19.71,13.35,7.02,111.12,,,,,,,Navoiy,,,,
1928,18.34,12.24,6.16,141.38,,,,,,,Navoiy,,,,
1929,18.39,12.07,5.77,119.88,,,,,,,Navoiy,,,,
1930,18.5,12.44,6.41,136.56,,,,,,,Navoiy,,,,
1931,17.97,12.17,6.39,173.43,,,,,,,Navoiy,,,,
1932,18.62,12.64,6.68,152.51,,,,,,,Navoiy,,,,
1933,18.84,12.82,6.83,169.66,,,,,,,Navoiy,,,,
1934,17.59,11.71,5.85,155.08,,,,,,,Navoiy,,,,
1935,19.03,12.7,6.4,121.83,,,,,,,Navoiy,,,,
1936,19.68,13.11,6.57,112.51,,,,,,,Navoiy,,,,
1937,19.02,12.46,5.93,108.97,,,,,,,Navoiy,,,,
1938,19.84,13.37,6.92,144.84,,,,,,,Navoiy,,,,
1939,20.11,13.73,7.38,156.57,,,,,,,Navoiy,,,,
1940,20.64,14.18,7.75,165.63,,,,,,,Navoiy,,,,
1941,21.11,14.53,8.0,147.44,,,,,,,Navoiy,,,,
1942,19.92,13.45,7.02,127.12,,,,,,,Navoiy,,,,
1943,18.8,12.46,6.16,145.14,,,,,,,Navoiy,,,,
1944,20.69,13.97,7.29,101.99,,,,,,,Navoiy,,,,
1945,18.95,12.57,6.23,177.39,,,,,,,Navoiy,,,,
1946,19.74,13.14,6.57,109.08,,,,,,,Navoiy,,,,
1947,20.44,13.82,7.25,128.1,,,,,,,Navoiy,,,,
1948,19.95,13.33,6.74,126.27,,,,,,,Navoiy,,,,
1949,17.89,11.79,5.71,173.05,,,,,,,Navoiy,,,,
1950,18.51,11.85,5.21,98.85,,10.29,16.38,3.76,45.66,0.03,Navoiy,,,,
1951,18.97,12.74,6.54,118.64,-0.1,8.93,17.06,2.17,45.63,0.05,Navoiy,,,,
1952,19.15,12.93,6.73,168.84,0.43,13.32,23.22,3.25,45.61,0.11,Navoiy,,,,
1953,19.31,13.34,7.41,184.14,0.6,14.66,23.03,5.98,49.96,0.06,Navoiy,,,,
1954,18.27,12.13,6.02,147.26,2.01,20.13,35.16,15.9,49.91,0.03,Navoiy,,,,
1955,20.81,14.15,7.52,105.77,-0.5,8.33,14.68,0.66,42.65,0.14,Navoiy,,,,
1956,19.2,12.97,6.76,137.42,0.48,15.03,25.2,4.73,45.54,0.09,Navoiy,,,,
1957,18.54,12.34,6.17,131.55,0.28,11.2,20.06,1.05,48.12,0.04,Navoiy,,,,
1958,19.8,13.64,7.52,169.08,0.54,10.66,17.56,0.8,47.92,0.06,Navoiy,,,,
1959,18.65,12.66,6.68,141.68,1.08,12.54,22.74,4.51,50.18,0.03,Navoiy,,,,
1960,19.03,12.78,6.56,126.32,0.31,8.18,12.68,1.21,48.14,0.07,Navoiy,,,,
1961,20.64,14.1,7.59,126.87,-0.42,16.22,27.77,7.71,46.24,0.08,Navoiy,,,,
1962,19.88,13.56,7.29,154.6,-0.04,14.03,17.04,4.99,48.68,0.09,Navoiy,,,,
1963,20.56,14.24,7.95,146.99,-0.14,13.69,20.95,4.19,48.11,0.06,Navoiy,,,,
1964,18.7,12.49,6.32,162.37,1.4,18.02,26.9,9.83,50.35,0.05,Navoiy,,,,
1965,20.09,13.77,7.48,109.54,0.24,11.07,18.76,2.75,47.33,0.08,Navoiy,,,,
1966,20.46,14.1,7.77,119.83,-0.62,8.64,16.24,0.13,45.3,0.13,Navoiy,,,,
1967,19.71,13.55,7.43,172.22,0.13,11.45,19.7,1.01,50.64,0.08,Navoiy,,,,
1968,19.73,13.48,7.27,139.39,0.18,11.22,18.82,0.26,48.39,0.09,Navoiy,,,,
1969,17.84,11.93,6.05,256.65,1.75,19.36,33.76,6.44,55.27,0.07,Navoiy,,,,
1970,20.2,13.77,7.38,132.35,0.68,13.4,21.63,5.05,49.21,0.06,Navoiy,,,,
1971,20.79,14.24,7.73,98.89,-0.44,7.16,12.13,0.0,47.06,0.07,Navoiy,,,,
1972,17.66,11.53,5.42,152.34,0.38,13.02,23.33,4.02,50.08,0.02,Navoiy,,,,
1973,19.9,13.64,7.42,162.58,0.36,11.9,17.77,1.01,49.82,0.11,Navoiy,,,,
1974,18.99,12.73,6.48,130.58,0.04,12.09,19.5,1.88,45.58,0.09,Navoiy,,,,
1975,20.29,13.86,7.47,100.94,-0.59,10.33,19.8,2.46,45.0,0.14,Navoiy,,,,
1976,18.88,12.84,6.82,159.05,-0.18,15.17,24.31,6.84,51.09,0.12,Navoiy,,,,
1977,20.03,13.88,7.77,139.25,-0.27,8.57,15.06,0.05,50.56,0.11,Navoiy,,,,
1978,19.57,13.49,7.45,224.02,1.19,15.03,25.25,9.65,53.09,0.1,Navoiy,,,,
1979,20.2,13.95,7.74,163.62,1.24,14.45,25.31,4.02,50.58,0.13,Navoiy,,,,
1980,19.79,13.65,7.53,179.09,0.25,13.97,17.03,3.24,52.66,0.12,Navoiy,,,,
1981,20.14,14.22,8.33,222.33,1.55,17.59,29.12,7.62,54.88,0.06,Navoiy,,,,
1982,19.29,13.19,7.12,158.14,0.73,11.72,17.28,7.22,52.49,0.05,Navoiy,,,,
1983,21.11,14.77,8.48,128.38,-0.27,12.09,17.88,1.67,49.15,0.18,Navoiy,,,,
1984,18.91,12.78,6.67,145.45,0.2,15.58,27.21,7.64,48.68,0.19,Navoiy,,,,
1985,19.96,13.65,7.37,132.97,0.03,13.35,20.04,5.0,49.16,0.12,Navoiy,,,,
1986,20.13,13.82,7.54,128.67,-0.68,10.5,20.93,1.03,48.03,0.09,Navoiy,,,,
1987,19.9,13.73,7.59,170.38,0.36,11.08,20.17,3.65,49.85,0.1,Navoiy,,,,
1988,20.58,14.35,8.15,162.38,0.57,13.8,24.21,6.02,51.2,0.11,Navoiy,,,,
1989,20.15,13.76,7.41,136.41,0.11,9.96,24.55,0.22,49.52,0.08,Navoiy,,,,
1990,20.51,14.3,8.13,140.11,-0.2,8.66,15.27,0.48,50.49,0.11,Navoiy,,,,
1991,19.97,13.95,7.95,182.94,0.39,20.49,34.91,12.04,50.78,0.08,Navoiy,,,,
1992,19.33,13.43,7.56,187.97,1.1,12.3,23.34,2.0,52.9,0.06,Navoiy,,,,
1993,18.73,12.85,7.01,174.25,0.59,11.36,21.92,0.53,51.14,0.09,Navoiy,,,,
1994,19.63,13.4,7.2,149.61,0.53,14.91,22.19,3.05,50.94,0.07,Navoiy,,,,
1995,21.47,14.87,8.29,89.85,-0.55,7.07,13.13,0.46,46.92,0.12,Navoiy,,,,
1996,19.76,13.27,6.81,90.66,-0.93,10.56,15.54,0.27,44.89,0.09,Navoiy,,,,
1997,21.01,14.57,8.16,167.87,-0.26,13.74,29.58,2.58,47.76,0.14,Navoiy,,,,
1998,20.34,14.05,7.79,179.74,0.67,12.25,23.27,0.99,50.23,0.12,Navoiy,,,,
1999,21.31,14.91,8.54,133.14,-0.78,10.91,14.69,0.5,47.3,0.11,Navoiy,,,,
2000,21.17,14.76,8.39,112.29,-1.45,7.8,14.51,0.26,48.01,0.12,Navoiy,,,,
2001,21.13,14.82,8.56,116.96,-1.67,8.11,12.59,0.64,47.76,0.09,Navoiy,,,,
2002,21.04,14.81,8.61,180.42,0.28,19.78,34.24,8.42,50.75,0.15,Navoiy,,,,
2003,19.77,14.0,8.27,230.0,1.18,13.6,24.95,2.9,54.19,0.1,Navoiy,,,,
2004,21.32,15.24,9.19,174.28,-0.24,14.24,23.31,6.9,49.34,0.11,Navoiy,,,,
2005,21.04,14.86,8.72,160.76,-0.09,14.33,25.29,4.76,48.77,0.18,Navoiy,,,,
2006,20.84,14.68,8.55,135.22,-1.23,8.52,14.63,0.41,47.67,0.12,Navoiy,,,,
2007,21.06,14.76,8.5,138.37,-1.18,12.76,24.64,2.87,47.09,0.14,Navoiy,,,,
2008,20.49,14.19,7.92,106.54,-1.97,5.88,11.16,0.93,47.7,0.19,Navoiy,,,,
2009,20.57,14.58,8.62,159.9,-0.82,12.81,18.02,1.86,50.08,0.07,Navoiy,,,,
2010,21.62,15.28,8.97,103.83,-1.03,13.43,20.76,4.09,45.44,0.18,Navoiy,,,,
2011,20.12,14.01,7.93,142.81,-1.98,14.93,28.41,7.41,46.01,0.17,Navoiy,,,,
2012,20.18,13.97,7.8,131.46,-0.72,10.62,17.96,1.39,44.49,0.17,Navoiy,,,,
2013,21.46,15.28,9.13,177.17,-1.41,14.38,21.97,3.31,45.93,0.12,Navoiy,,,,
2014,20.07,13.77,7.49,141.37,-0.6,16.68,24.33,6.46,46.4,0.16,Navoiy,,,,
2015,21.01,15.08,9.19,184.29,-0.82,13.99,27.62,2.73,48.74,0.22,Navoiy,,,,
2016,21.49,15.45,9.44,201.6,-0.67,11.4,16.28,4.79,48.76,0.1,Navoiy,,,,
2017,20.88,14.71,8.57,152.36,-0.33,9.54,20.06,1.68,46.97,0.16,Navoiy,,,,
2018,20.8,14.6,8.43,134.75,-1.61,11.66,19.23,5.0,45.58,0.17,Navoiy,,,,
2019,21.43,15.36,9.33,165.85,-0.7,9.91,17.96,1.12,47.19,0.21,Navoiy,,,,
2020,20.54,14.44,8.38,132.05,-1.28,21.56,31.01,15.11,47.42,0.15,Navoiy,,,,
2021,21.97,15.52,9.11,92.52,-1.88,13.71,21.52,1.91,43.85,0.25,Navoiy,,,,
2022,21.35,15.59,9.87,144.79,-1.6,15.16,28.75,4.69,48.92,0.18,Navoiy,,,,
2023,22.62,16.37,10.15,108.8,-2.42,8.38,13.67,2.8,43.85,0.19,Navoiy,,,,
2024,21.04,15.3,9.59,141.59,-1.28,12.51,19.02,6.48,47.96,0.12,Navoiy,,,,
1901,17.68,11.39,5.12,121.6,,,,,,,Qaraqalpogiston,,,,
1902,17.71,11.47,5.25,128.43,,,,,,,Qaraqalpogiston,,,,
1903,16.94,10.69,4.46,97.67,,,,,,,Qaraqalpogiston,,,,
1904,16.84,10.69,4.56,100.41,,,,,,,Qaraqalpogiston,,,,
1905,16.94,10.8,4.68,123.9,,,,,,,Qaraqalpogiston,,,,
1906,17.35,11.23,5.13,125.96,,,,,,,Qaraqalpogiston,,,,
1907,16.24,10.24,4.27,118.66,,,,,,,Qaraqalpogiston,,,,
1908,16.46,10.35,4.26,96.51,,,,,,,Qaraqalpogiston,,,,
1909,17.7,11.51,5.34,90.21,,,,,,,Qaraqalpogiston,,,,
1910,17.45,11.17,4.91,82.35,,,,,,,Qaraqalpogiston,,,,
1911,16.23,10.21,4.22,107.97,,,,,,,Qaraqalpogiston,,,,
1912,17.18,11.06,4.97,84.98,,,,,,,Qaraqalpogiston,,,,
1913,17.23,11.38,5.56,92.5,,,,,,,Qaraqalpogiston,,,,
1914,17.37,11.68,6.01,117.1,,,,,,,Qaraqalpogiston,,,,
1915,18.1,12.26,6.45,135.18,,,,,,,Qaraqalpogiston,,,,
1916,16.7,10.56,4.45,105.09,,,,,,,Qaraqalpogiston,,,,
1917,17.53,11.48,5.45,80.08,,,,,,,Qaraqalpogiston,,,,
1918,16.56,10.49,4.44,111.83,,,,,,,Qaraqalpogiston,,,,
1919,16.5,10.67,4.87,113.85,,,,,,,Qaraqalpogiston,,,,
1920,16.33,10.28,4.25,125.16,,,,,,,Qaraqalpogiston,,,,
1921,16.99,10.88,4.8,113.48,,,,,,,Qaraqalpogiston,,,,
1922,17.67,11.57,5.51,113.9,,,,,,,Qaraqalpogiston,,,,
1923,17.1,11.01,4.94,110.75,,,,,,,Qaraqalpogiston,,,,
1924,17.02,10.92,4.83,123.95,,,,,,,Qaraqalpogiston,,,,
1925,18.13,11.94,5.79,102.54,,,,,,,Qaraqalpogiston,,,,
1926,17.27,11.16,5.08,123.75,,,,,,,Qaraqalpogiston,,,,
1927,16.93,10.81,4.71,99.11,,,,,,,Qaraqalpogiston,,,,
1928,15.47,9.52,3.59,107.37,,,,,,,Qaraqalpogiston,,,,
1929,15.81,9.68,3.57,85.53,,,,,,,Qaraqalpogiston,,,,
1930,16.51,10.49,4.48,96.55,,,,,,,Qaraqalpogiston,,,,
1931,15.7,9.81,3.94,129.29,,,,,,,Qaraqalpogiston,,,,
1932,16.71,10.73,4.76,110.66,,,,,,,Qaraqalpogiston,,,,
1933,16.34,10.42,4.52,126.29,,,,,,,Qaraqalpogiston,,,,
1934,15.39,9.53,3.7,116.94,,,,,,,Qaraqalpogiston,,,,
1935,17.07,10.78,4.52,91.87,,,,,,,Qaraqalpogiston,,,,
1936,17.2,11.05,4.93,92.97,,,,,,,Qaraqalpogiston,,,,
1937,16.95,10.79,4.65,77.81,,,,,,,Qaraqalpogiston,,,,
1938,17.06,11.27,5.5,107.92,,,,,,,Qaraqalpogiston,,,,
1939,16.92,11.24,5.6,116.3,,,,,,,Qaraqalpogiston,,,,
1940,17.44,11.81,6.21,162.73,,,,,,,Qaraqalpogiston,,,,
1941,17.25,11.43,5.65,108.63,,,,,,,Qaraqalpogiston,,,,
1942,16.44,10.63,4.84,92.39,,,,,,,Qaraqalpogiston,,,,
1943,15.95,10.15,4.37,92.11,,,,,,,Qaraqalpogiston,,,,
1944,18.13,11.96,5.82,61.64,,,,,,,Qaraqalpogiston,,,,
1945,15.62,9.82,4.04,117.01,,,,,,,Qaraqalpogiston,,,,
1946,16.92,11.01,5.12,83.81,,,,,,,Qaraqalpogiston,,,,
1947,17.29,11.31,5.36,97.85,,,,,,,Qaraqalpogiston,,,,
1948,17.8,11.7,5.62,86.8,,,,,,,Qaraqalpogiston,,,,
1949,15.48,9.81,4.17,107.2,,,,,,,Qaraqalpogiston,,,,
1950,15.67,9.52,3.38,73.1,,5.23,7.9,0.63,50.97,0.05,Qaraqalpogiston,,,,
1951,16.64,10.6,4.58,100.84,-0.44,10.14,15.11,0.17,51.24,0.07,Qaraqalpogiston,,,,
1952,16.59,10.63,4.69,126.76,0.47,14.62,25.22,5.25,51.61,0.13,Qaraqalpogiston,,,,
1953,16.85,11.13,5.42,117.89,-0.07,8.85,13.29,0.24,54.16,0.06,Qaraqalpogiston,,,,
1954,15.88,9.9,3.93,90.83,1.15,10.42,16.1,2.18,55.65,0.05,Qaraqalpogiston,,,,
1955,18.31,11.94,5.6,75.19,-0.86,12.77,21.15,5.3,48.68,0.15,Qaraqalpogiston,,,,
1956,16.2,10.33,4.47,92.43,0.12,9.8,14.93,3.03,52.66,0.09,Qaraqalpogiston,,,,
1957,17.02,10.88,4.77,84.63,-0.37,9.26,11.48,3.37,51.38,0.03,Qaraqalpogiston,,,,
1958,16.97,11.26,5.58,134.27,0.35,12.23,22.61,7.38,54.61,0.05,Qaraqalpogiston,,,,
1959,15.54,9.84,4.16,101.02,0.85,8.28,15.11,0.24,56.72,0.05,Qaraqalpogiston,,,,
1960,16.42,10.33,4.26,77.07,0.46,10.61,15.0,3.11,54.83,0.08,Qaraqalpogiston,,,,
1961,18.37,12.12,5.9,74.06,-0.75,8.08,13.75,2.22,54.58,0.09,Qaraqalpogiston,,,,
1962,17.85,11.78,5.75,104.11,-0.4,7.02,10.11,0.0,55.95,0.12,Qaraqalpogiston,,,,
1963,17.84,11.9,6.0,137.37,0.15,9.7,19.21,2.29,57.35,0.04,Qaraqalpogiston,,,,
1964,16.33,10.4,4.5,117.97,1.5,8.55,13.34,0.25,58.28,0.07,Qaraqalpogiston,,,,
1965,17.52,11.48,5.48,104.05,0.34,7.51,12.3,0.71,57.01,0.07,Qaraqalpogiston,,,,
1966,18.29,11.93,5.59,114.86,-0.66,11.92,14.83,5.82,53.16,0.12,Qaraqalpogiston,,,,
1967,17.63,11.49,5.37,127.63,0.15,14.52,21.31,5.57,58.78,0.06,Qaraqalpogiston,,,,
1968,17.38,11.11,4.86,100.05,-0.25,11.12,13.8,1.93,54.74,0.07,Qaraqalpogiston,,,,
1969,15.4,9.64,3.9,171.14,0.87,16.96,28.45,9.51,58.75,0.07,Qaraqalpogiston,,,,
1970,17.57,11.34,5.13,77.16,0.24,8.62,13.02,0.66,55.2,0.05,Qaraqalpogiston,,,,
1971,18.36,12.01,5.69,76.12,-0.4,7.78,10.62,0.63,55.77,0.06,Qaraqalpogiston,,,,
1972,16.09,9.77,3.47,72.54,-0.08,8.1,13.07,1.54,54.92,0.05,Qaraqalpogiston,,,,
1973,17.12,11.26,5.43,156.85,0.56,12.32,22.67,4.06,59.43,0.11,Qaraqalpogiston,,,,
1974,17.03,10.76,4.51,78.96,0.05,7.03,11.48,0.0,54.13,0.07,Qaraqalpogiston,,,,
1975,18.45,12.12,5.81,59.88,-0.97,7.89,12.22,0.0,52.42,0.16,Qaraqalpogiston,,,,
1976,16.09,10.26,4.45,104.95,0.08,11.98,20.91,3.25,58.9,0.11,Qaraqalpogiston,,,,
1977,17.52,11.54,5.58,90.78,-0.14,7.69,9.25,1.55,57.54,0.1,Qaraqalpogiston,,,,
1978,17.11,11.18,5.27,173.63,0.74,12.95,20.4,3.06,59.58,0.09,Qaraqalpogiston,,,,
1979,18.35,12.26,6.2,112.73,0.8,17.13,23.39,9.92,57.03,0.12,Qaraqalpogiston,,,,
1980,16.93,10.99,5.06,145.64,0.42,10.17,16.72,3.99,61.24,0.11,Qaraqalpogiston,,,,
1981,18.04,12.28,6.55,187.78,1.53,17.38,29.12,6.11,61.13,0.07,Qaraqalpogiston,,,,
1982,17.46,11.17,4.9,118.52,0.47,8.75,13.1,2.35,59.46,0.04,Qaraqalpogiston,,,,
1983,19.25,13.1,6.98,126.3,0.44,9.06,18.24,2.76,58.86,0.18,Qaraqalpogiston,,,,
1984,16.88,10.64,4.43,90.86,0.01,13.88,18.71,11.59,56.0,0.2,Qaraqalpogiston,,,,
1985,17.68,11.43,5.21,114.9,0.14,12.68,24.76,2.76,57.01,0.11,Qaraqalpogiston,,,,
1986,17.9,11.59,5.32,96.87,-0.48,10.93,19.27,1.13,55.15,0.11,Qaraqalpogiston,,,,
1987,17.11,11.04,5.0,147.99,1.1,13.05,20.52,2.66,60.12,0.11,Qaraqalpogiston,,,,
1988,18.11,11.91,5.72,146.4,0.65,11.82,25.56,3.39,59.48,0.11,Qaraqalpogiston,,,,
1989,18.69,12.23,5.8,111.92,0.59,19.96,27.38,10.65,58.01,0.11,Qaraqalpogiston,,,,
1990,18.6,12.33,6.1,142.22,-0.26,15.04,20.27,6.31,58.35,0.1,Qaraqalpogiston,,,,
1991,18.27,12.07,5.91,126.29,0.61,13.1,28.72,5.49,58.37,0.1,Qaraqalpogiston,,,,
1992,16.97,11.04,5.14,146.37,0.74,11.05,18.79,4.49,59.74,0.05,Qaraqalpogiston,,,,
1993,16.7,10.75,4.82,140.34,1.15,17.51,28.41,7.93,60.12,0.09,Qaraqalpogiston,,,,
1994,16.97,10.77,4.59,156.22,1.41,19.95,23.13,9.05,60.01,0.04,Qaraqalpogiston,,,,
1995,19.62,13.07,6.56,90.56,0.11,11.45,15.9,3.92,55.39,0.11,Qaraqalpogiston,,,,
1996,17.51,10.89,4.29,62.28,-0.55,11.1,11.32,12.25,53.64,0.11,Qaraqalpogiston,,,,
1997,18.96,12.32,5.71,100.98,-0.47,15.89,24.94,4.95,54.02,0.12,Qaraqalpogiston,,,,
1998,18.39,11.9,5.44,114.46,-0.03,14.06,22.4,5.82,55.73,0.17,Qaraqalpogiston,,,,
1999,19.63,12.86,6.13,119.09,-0.97,8.02,11.84,0.57,55.68,0.14,Qaraqalpogiston,,,,
2000,19.24,12.76,6.3,112.42,-0.79,7.28,12.61,0.23,56.55,0.14,Qaraqalpogiston,,,,
2001,19.17,12.72,6.31,123.02,-1.04,11.23,13.67,6.05,54.17,0.1,Qaraqalpogiston,,,,
2002,18.89,12.73,6.59,139.81,0.35,16.59,27.07,5.01,56.8,0.16,Qaraqalpogiston,,,,
2003,17.64,11.77,5.92,181.81,1.02,13.48,20.17,5.29,59.25,0.1,Qaraqalpogiston,,,,
2004,19.54,13.36,7.22,146.08,-0.07,11.82,14.87,5.48,54.92,0.08,Qaraqalpogiston,,,,
2005,19.42,13.1,6.8,120.32,-1.17,11.52,17.06,9.2,53.29,0.19,Qaraqalpogiston,,,,
2006,18.9,12.57,6.27,134.86,-1.25,10.62,13.53,3.19,54.54,0.2,Qaraqalpogiston,,,,
2007,19.18,12.82,6.49,114.29,-1.16,8.55,16.79,0.0,53.69,0.14,Qaraqalpogiston,,,,
2008,18.97,12.42,5.9,105.38,-2.11,7.31,11.78,0.28,52.78,0.19,Qaraqalpogiston,,,,
2009,18.57,12.43,6.32,125.42,-1.2,7.72,12.68,0.25,55.68,0.1,Qaraqalpogiston,,,,
2010,19.75,13.28,6.85,106.55,-0.91,8.14,14.02,1.27,52.33,0.26,Qaraqalpogiston,,,,
2011,17.77,11.53,5.31,124.11,-2.28,7.98,11.31,3.82,52.13,0.23,Qaraqalpogiston,,,,
2012,18.6,12.19,5.81,98.79,-1.62,15.62,20.27,6.29,50.32,0.23,Qaraqalpogiston,,,,
2013,19.96,13.54,7.17,142.98,-1.87,12.03,18.3,5.34,52.6,0.09,Qaraqalpogiston,,,,
2014,18.28,11.74,5.22,131.55,-1.57,7.48,11.61,1.07,51.21,0.24,Qaraqalpogiston,,,,
2015,19.14,13.08,7.05,158.1,-0.81,17.35,24.09,10.56,54.83,0.25,Qaraqalpogiston,,,,
